pecha id,language,url
I4DD244E3,sa,https://github.com/OpenPecha/I4DD244E3
I4121485A,sa,https://github.com/OpenPecha/I4121485A
IFBC4A522,sa,https://github.com/OpenPecha/IFBC4A522
IE200905A,sa,https://github.com/OpenPecha/IE200905A
I04FFA754,zh,https://github.com/OpenPecha/I04FFA754
IEB3770B5,zh,https://github.com/OpenPecha/IEB3770B5
I6E0AD656,zh,https://github.com/OpenPecha/I6E0AD656
I00C010AC,zh,https://github.com/OpenPecha/I00C010AC
I4601A243,zh,https://github.com/OpenPecha/I4601A243
IE177B169,zh,https://github.com/OpenPecha/IE177B169
I52FB23BD,zh,https://github.com/OpenPecha/I52FB23BD
I97F2F8D8,bo,https://github.com/OpenPecha/I97F2F8D8
I5698B99B,bo,https://github.com/OpenPecha/I5698B99B
I420A7242,en,https://github.com/OpenPecha/I420A7242
I2C44F49E,en,https://github.com/OpenPecha/I2C44F49E
IA6B86E56,en,https://github.com/OpenPecha/IA6B86E56
